source_title,source_url,source_category,proposed_wp_slug,existing_wp_post_id,property_type,transaction_candidate,city,postal_code,available_sf,building_sf,lot_acres,suite_count,image_count,has_brochure,redirect_required,warning_count,warnings,transaction_v1,transaction_v2,transaction_confidence_v2,address_confidence_v2,brochure_text_status,broker_candidate_count,source_coordinates_found,featured_image_confidence_v2,decision_known_count,decision_unknown_count,decision_conflict_count,suite_count_v2,brochure_page_conflicts,review_decision,review_notes
"Magnolia Office Park - 31300-31368 Nichols Sawmill Road Magnolia, TX 77355",https://www.aspirecre.com/properties/magnolia-office-park-building-12-31348-nichols-sawmill-road-magnolia-tx-77355-yj4n2,Office Condos,magnolia-office-park-building-12-31348-nichols-sawmill-road-magnolia-tx-77355-yj4n2,,Office Condo,,Magnolia,77355,,,,0,4,True,False,3,structured_value_review; missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,high,4,12,0,0,,,
"NEC Aldine Bender Rd & JFK Blvd. Houston, Texas 77032",https://www.aspirecre.com/properties/nec-aldine-bender-rd-jfk-blvd-houston-texas-77032,Land,nec-aldine-bender-rd-jfk-blvd-houston-texas-77032,,Land,,,77032,,,,0,5,True,False,5,ambiguous_address; structured_value_conflict; ambiguous_transaction; structured_value_review; featured_image_low_confidence,,,conflicting,,available,3,True,low,6,8,1,0,lot_acres; traffic_count_vpd; transaction_type,,
"Nitya Tower - 2211 Norfolk Street Houston, TX 77098",https://www.aspirecre.com/properties/nitya-tower-2211-norfolk-street,Office,nitya-tower-2211-norfolk-street,,Office,,Houston,77098,,,,0,13,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,high,7,9,0,0,,,
"One Westchase Center - 10777 Westheimer Road Houston, TX 77042",https://www.aspirecre.com/properties/one-westchase-center-10777-westheimer-rd,Office,one-westchase-center-10777-westheimer-rd,,Office,,Houston,77042,,,,0,8,True,False,3,structured_value_review; missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,high,4,12,0,0,,,
"Park Central Plaza - 1111 North Loop West Houston, TX 77008",https://www.aspirecre.com/properties/park-central-plaza-1111-north-loop-west,Office,park-central-plaza-1111-north-loop-west,,Office,,West Houston,77008,,,,0,13,True,False,2,missing_transaction; featured_image_low_confidence,,,,,available,3,True,high,8,8,0,0,address,,
"Parkway Ridge Office Condos - 633 East Fernhurst Drive Katy, TX 77450",https://www.aspirecre.com/properties/parkway-ridge-office-condos-633-east-fernhurst-drive-katy-tx-77450,Office Condos,parkway-ridge-office-condos-633-east-fernhurst-drive-katy-tx-77450,,Office Condo,For Sale or Lease,Katy,77450,,,,0,4,True,False,1,featured_image_low_confidence,For Sale or Lease,,conflicting,high_agreement,available,3,True,high,3,13,0,0,transaction_type,,
"Shepherd Land - 124.35 Acres In Shepherd, TX 77371",https://www.aspirecre.com/properties/sheperd-land-12435-acres-in-shepherd-tx-77371,Land,sheperd-land-12435-acres-in-shepherd-tx-77371,,Land,,,77371,,,124.35,0,4,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,,,high,available,2,True,low,3,12,0,0,,,
"Sienna Park Office Condos - 6110 Sienna Ranch Road, Missouri City, TX 77459",https://www.aspirecre.com/properties/sienna-park-office-condos-6110-sienna-ranch-road-missouri-city-tx-77459,Office Condos,sienna-park-office-condos-6110-sienna-ranch-road-missouri-city-tx-77459,,Office Condo,For Sale or Lease,Missouri City,77459,,,,0,8,True,False,1,featured_image_low_confidence,For Sale or Lease,For Sale or Lease,high_agreement,high_agreement,available,1,True,low,4,12,0,0,,,
"Sierra Vista Office Condos - Meridiana Parkway, Iowa Colony, TX, 77583",https://www.aspirecre.com/properties/sierra-vista-office-condos-meridiana-parkway-iowa-colony-tx-77583,Office Condos,sierra-vista-office-condos-meridiana-parkway-iowa-colony-tx-77583,,Office Condo,,,77583,,,,0,6,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,,,,unavailable,0,True,low,2,14,0,0,,,
"The Groves Office Condos - 13803 Madera Run Parkway Humble, TX 77346",https://www.aspirecre.com/properties/the-groves-office-condos-13803-madera-run-parkway-humble-tx-77346,Office Condos,the-groves-office-condos-13803-madera-run-parkway-humble-tx-77346,,Office Condo,For Sale or Lease,Humble,77346,,,,0,2,True,False,1,featured_image_low_confidence,For Sale or Lease,,conflicting,high_agreement,available,1,True,low,4,12,0,0,transaction_type,,
"The Palm Office Condos - 1842 Snake Road Katy, TX 77449",https://www.aspirecre.com/properties/the-palm-office-condos-1842-snake-road-katy-tx-77449-7yxj5,Office Condos,the-palm-office-condos-1842-snake-road-katy-tx-77449-7yxj5,,Office Condo,,Katy,77449,,,,1,7,True,False,2,missing_transaction; featured_image_low_confidence,,,,,available,1,True,low,3,13,0,1,address,,
"The Westchester - 11451 Katy Freeway Houston, TX 77079",https://www.aspirecre.com/properties/the-westchester-11451-katy-freeway,Office,the-westchester-11451-katy-freeway,,Office,,Houston,77079,,,,0,5,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,2,14,0,0,,,
"Washington Plaza - 4000 Washington Avenue, Houston, TX 77007",https://www.aspirecre.com/properties/washington-plaza-4000-washington-avenue-houston-texas,Office,washington-plaza-4000-washington-avenue-houston-texas,,Office,,Houston,77007,,,,0,8,True,False,2,missing_transaction; featured_image_low_confidence,,,,high,unavailable,0,True,low,0,16,0,0,,,
"Woodforest Office Condos - 625 Regal Row Montgomery, TX 77316",https://www.aspirecre.com/properties/woodforest-office-condos-625-regal-row-montgomery-tx-77316,Office Condos,woodforest-office-condos-625-regal-row-montgomery-tx-77316,,Office Condo,For Sale or Lease,Montgomery,77316,,,,0,4,True,False,1,featured_image_low_confidence,For Sale or Lease,For Sale or Lease,high_agreement,high_agreement,available,1,True,high,4,12,0,0,,,
